game,n,all_mean,all_std,all_min,all_max,top5_mean,paper,norm_all,norm_top5
alien,7,1240.0,410.11795954425196,699.3333333333334,1818.3333333333333,1419.7999999999997,1265,14.666666666666666,17.272463768115937
amidar,7,144.41428571428574,58.35884476156775,55.766666666666666,215.43333333333337,172.52000000000004,175,8.075512585430907,9.715285880980165
assault,7,816.647619047619,232.83337935030394,614.9333333333333,1305.9666666666667,889.0066666666665,862,114.35531135531133,128.2705128205128
asterix,7,1162.3809523809525,345.8214283665203,571.6666666666666,1636.6666666666667,1321.0000000000002,1166,11.484154737500935,13.396840709031718
bank_heist,7,1038.2857142857142,239.2256356703954,747.3333333333334,1309.6666666666667,1152.0,1013,138.60429151362845,153.99188092016237
battle_zone,7,14542.857142857143,2358.0998538303934,9866.666666666666,16400.0,15806.666666666666,14153,34.98006530049714,38.60878220588798
boxing,7,79.72380952380952,3.983935997445998,72.73333333333333,85.43333333333334,81.47333333333333,82,664.3650793650794,678.9444444444445
breakout,8,47.25833333333333,26.69953777615481,22.366666666666667,98.96666666666668,60.1,35,161.63690476190476,207.5
chopper_command,7,1893.8095238095236,615.63405607982,956.6666666666666,2806.6666666666665,2199.9999999999995,1772,16.463577980987132,21.119051239166783
crazy_climber,7,89186.66666666667,10319.904535877715,74010.0,104013.33333333331,93416.0,80881,313.0131608713588,329.89740109385605
demon_attack,7,307.07142857142856,71.20938459940835,216.83333333333337,416.0,338.8,322,8.525092279902614,10.269378779549204
freeway,7,4.595238095238095,12.157857215130141,0.0,32.166666666666664,6.433333333333333,7,15.317460317460318,21.444444444444443
frostbite,7,1790.6666666666665,1437.2397671050394,257.6666666666667,3304.6666666666665,2403.4666666666662,2393,40.41373926619828,54.765027322404364
gopher,7,3728.952380952381,786.2250038085515,2164.6666666666665,4690.666666666667,4095.7333333333336,3930,161.13985055489235,178.16774992262458
hero,7,6847.142857142856,3735.4044285336754,3316.6666666666665,13563.166666666666,8179.666666666666,7833,19.53133614263182,24.003042607693768
james_bond,7,333.80952380952385,100.40987430100118,188.33333333333337,518.3333333333334,373.33333333333337,362,111.24435175530067,125.66909975669101
kangaroo,7,1441.4285714285713,601.0788360903811,590.0,2046.6666666666667,1780.0,1730,46.57822901202049,57.92826014079785
krull,7,7589.9047619047615,1587.1425723524476,4871.666666666667,9042.666666666666,8491.466666666665,8500,561.039771713929,645.4556803995005
kung_fu_master,7,24925.2380952381,9763.335013304142,11253.333333333334,36313.333333333336,30347.333333333336,30273,109.739470127405,133.86125693270458
ms_pacman,7,2645.904761904762,944.4668438053392,1773.3333333333333,4483.333333333333,2988.2,3024,35.197964814217634,40.34913468773514
pong,7,19.104761904761908,2.35768472206893,14.433333333333334,21.0,20.37333333333333,20,111.4021164021164,114.92592592592594
private_eye,7,-187.36666666666662,451.8588734123537,-1000.0,326.6666666666667,35.42666666666668,952,-0.30536143943097604,0.014992475004553356
qbert,7,2192.1428571428573,1589.56841460473,512.5,4266.666666666667,2801.6666666666665,1221,15.259520405860036,19.845509492639128
road_runner,7,15672.38095238095,5564.359040751372,8193.333333333334,21653.333333333332,18201.999999999996,17252,199.92826442462595,232.22264777224558
seaquest,7,636.3809523809523,117.36985362384388,417.3333333333333,786.0,685.8666666666667,645,1.3537069864028206,1.471566596009876
up_n_down,7,9515.476190476189,7782.469754274056,4701.0,26923.666666666668,11327.466666666665,9831,80.48813790749274,96.72461170848267
